arm,dialogue_id,opening_tag,is_reversal,reversal_type,true,pred,correct
last-turn-removed,ENG_257,,False,,yes,yes,True
last-turn-removed,ENG_100,,False,,yes,yes,True
last-turn-removed,ENG_394,,False,,no,no,True
last-turn-removed,REV_024,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_081,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_028,,False,,no,no,True
last-turn-removed,ENG_117,,False,,yes,no,False
last-turn-removed,ENG_440,,False,,no,no,True
last-turn-removed,ENG_457,,False,,no,no,True
last-turn-removed,ENG_127,,False,,yes,no,False
last-turn-removed,ENG_047,,False,,no,no,True
last-turn-removed,ENG_150,,False,,yes,yes,True
last-turn-removed,REV_127,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_230,,False,,yes,yes,True
last-turn-removed,ENG_161,,False,,no,no,True
last-turn-removed,ENG_337,,False,,yes,yes,True
last-turn-removed,ENG_415,,False,,no,no,True
last-turn-removed,ENG_216,,False,,no,no,True
last-turn-removed,ENG_190,,False,,no,no,True
last-turn-removed,ENG_041,,False,,no,no,True
last-turn-removed,REV_001,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_128,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_411,,False,,yes,yes,True
last-turn-removed,ENG_381,,False,,yes,yes,True
last-turn-removed,ENG_500,,False,,yes,yes,True
last-turn-removed,ENG_318,,False,,yes,yes,True
last-turn-removed,REV_041,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_109,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_098,,False,,no,no,True
last-turn-removed,ENG_474,,False,,yes,yes,True
last-turn-removed,REV_223,resistant,False,none,no,no,True
last-turn-removed,ENG_019,,False,,no,no,True
last-turn-removed,ENG_410,,False,,yes,yes,True
last-turn-removed,ENG_489,,False,,yes,yes,True
last-turn-removed,ENG_454,,False,,no,no,True
last-turn-removed,REV_033,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,ENG_397,,False,,no,no,True
last-turn-removed,ENG_046,,False,,no,no,True
last-turn-removed,ENG_480,,False,,no,no,True
last-turn-removed,ENG_348,,False,,no,no,True
last-turn-removed,ENG_002,,False,,yes,yes,True
last-turn-removed,ENG_018,,False,,no,yes,False
last-turn-removed,ENG_419,,False,,no,no,True
last-turn-removed,ENG_425,,False,,no,no,True
last-turn-removed,ENG_388,,False,,yes,yes,True
last-turn-removed,REV_099,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_062,,False,,no,no,True
last-turn-removed,ENG_358,,False,,no,no,True
last-turn-removed,ENG_166,,False,,no,no,True
last-turn-removed,REV_268,committed,False,none,yes,yes,True
last-turn-removed,ENG_259,,False,,yes,yes,True
last-turn-removed,REV_258,committed,False,none,yes,yes,True
last-turn-removed,REV_231,resistant,False,none,no,yes,False
last-turn-removed,REV_058,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,ENG_240,,False,,no,no,True
last-turn-removed,ENG_268,,False,,yes,yes,True
last-turn-removed,REV_087,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_009,,False,,no,no,True
last-turn-removed,ENG_055,,False,,no,no,True
last-turn-removed,REV_232,resistant,False,none,no,no,True
last-turn-removed,REV_006,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,ENG_342,,False,,no,no,True
last-turn-removed,REV_070,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_496,,False,,no,no,True
first-half-only,REV_219,resistant,False,none,no,no,True
first-half-only,REV_245,committed,False,none,yes,yes,True
first-half-only,ENG_323,,False,,yes,yes,True
first-half-only,REV_255,committed,False,none,yes,no,False
first-half-only,ENG_378,,False,,yes,yes,True
first-half-only,ENG_344,,False,,yes,yes,True
first-half-only,ENG_329,,False,,yes,no,False
first-half-only,REV_253,committed,False,none,yes,yes,True
first-half-only,ENG_013,,False,,no,yes,False
first-half-only,ENG_267,,False,,yes,yes,True
first-half-only,REV_048,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,ENG_184,,False,,no,yes,False
first-half-only,ENG_038,,False,,no,no,True
first-half-only,ENG_067,,False,,no,no,True
first-half-only,REV_037,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,ENG_278,,False,,yes,no,False
first-half-only,ENG_336,,False,,yes,no,False
first-half-only,ENG_307,,False,,no,yes,False
first-half-only,ENG_160,,False,,yes,yes,True
first-half-only,REV_009,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,ENG_034,,False,,no,no,True
first-half-only,ENG_469,,False,,yes,yes,True
first-half-only,ENG_269,,False,,yes,yes,True
first-half-only,ENG_133,,False,,yes,yes,True
first-half-only,REV_130,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_066,,False,,yes,no,False
first-half-only,REV_022,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_248,committed,False,none,yes,yes,True
first-half-only,ENG_395,,False,,no,no,True
first-half-only,ENG_137,,False,,yes,yes,True
first-half-only,ENG_424,,False,,yes,yes,True
first-half-only,ENG_010,,False,,no,no,True
first-half-only,ENG_351,,False,,no,no,True
first-half-only,ENG_085,,False,,no,no,True
first-half-only,REV_059,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_094,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_226,resistant,False,none,no,no,True
first-half-only,REV_220,resistant,False,none,no,no,True
first-half-only,ENG_308,,False,,no,yes,False
first-half-only,ENG_350,,False,,no,no,True
first-half-only,ENG_402,,False,,yes,yes,True
first-half-only,ENG_257,,False,,yes,yes,True
first-half-only,ENG_100,,False,,yes,yes,True
first-half-only,ENG_394,,False,,no,no,True
first-half-only,REV_024,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_081,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_028,,False,,no,no,True
first-half-only,ENG_117,,False,,yes,yes,True
first-half-only,ENG_440,,False,,no,no,True
first-half-only,ENG_457,,False,,no,yes,False
first-half-only,ENG_127,,False,,yes,no,False
first-half-only,ENG_047,,False,,no,no,True
first-half-only,ENG_150,,False,,yes,yes,True
first-half-only,REV_127,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_230,,False,,yes,yes,True
first-half-only,ENG_161,,False,,no,no,True
first-half-only,ENG_337,,False,,yes,yes,True
first-half-only,ENG_415,,False,,no,yes,False
first-half-only,ENG_216,,False,,no,no,True
first-half-only,ENG_190,,False,,no,no,True
first-half-only,ENG_041,,False,,no,no,True
first-half-only,REV_001,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_128,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_411,,False,,yes,yes,True
first-half-only,ENG_381,,False,,yes,yes,True
first-half-only,ENG_500,,False,,yes,yes,True
first-half-only,ENG_318,,False,,yes,yes,True
first-half-only,REV_041,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_109,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_098,,False,,no,no,True
first-half-only,ENG_474,,False,,yes,yes,True
first-half-only,REV_223,resistant,False,none,no,no,True
first-half-only,ENG_019,,False,,no,no,True
first-half-only,ENG_410,,False,,yes,yes,True
first-half-only,ENG_489,,False,,yes,no,False
first-half-only,ENG_454,,False,,no,no,True
first-half-only,REV_033,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,ENG_397,,False,,no,no,True
first-half-only,ENG_046,,False,,no,no,True
first-half-only,ENG_480,,False,,no,no,True
first-half-only,ENG_348,,False,,no,no,True
first-half-only,ENG_002,,False,,yes,yes,True
first-half-only,ENG_018,,False,,no,yes,False
first-half-only,ENG_419,,False,,no,no,True
first-half-only,ENG_425,,False,,no,no,True
first-half-only,ENG_388,,False,,yes,yes,True
first-half-only,REV_099,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_062,,False,,no,yes,False
first-half-only,ENG_358,,False,,no,no,True
first-half-only,ENG_166,,False,,no,no,True
first-half-only,REV_268,committed,False,none,yes,yes,True
first-half-only,ENG_259,,False,,yes,yes,True
first-half-only,REV_258,committed,False,none,yes,yes,True
first-half-only,REV_231,resistant,False,none,no,no,True
first-half-only,REV_058,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,ENG_240,,False,,no,no,True
first-half-only,ENG_268,,False,,yes,yes,True
first-half-only,REV_087,committed,True,commit_to_rejection,no,no,True
first-half-only,ENG_009,,False,,no,no,True
first-half-only,ENG_055,,False,,no,no,True
first-half-only,REV_232,resistant,False,none,no,yes,False
first-half-only,REV_006,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,ENG_342,,False,,no,no,True
first-half-only,REV_070,committed,True,commit_to_rejection,no,no,True
